,matrix_type,dimension,memory_matrix_A,time_elapsed
0,dense,1000,7.629508972167969,0.02413780000006227
1,dense_sym,1000,3.8147544860839844,0.013923099999828992
2,band,1000,0.03063201904296875,9.229999977833359e-05
3,band_sym,1000,0.01537322998046875,0.00010530000008657225
4,tridiagonal,1000,0.0117340087890625,2.7400000362831634e-05
5,tridiagonal_sym,1000,0.007823944091796875,2.0000000404252205e-05
6,dense,1500,17.16625213623047,0.043666099999882135
7,dense_sym,1500,8.583126068115234,0.03446830000029877
8,band,1500,0.04589080810546875,0.0001243000001522887
9,band_sym,1500,0.02300262451171875,0.00013810000018565916
10,tridiagonal,1500,0.0174560546875,3.300000025774352e-05
11,tridiagonal_sym,1500,0.011638641357421875,2.6400000024295878e-05
12,dense,2000,30.51769256591797,0.08820109999987835
13,dense_sym,2000,15.258846282958984,0.07225149999976566
14,band,2000,0.06114959716796875,0.00016880000021046726
15,band_sym,2000,0.03063201904296875,0.00018840000029740622
16,tridiagonal,2000,0.0231781005859375,4.149999995206599e-05
17,tridiagonal_sym,2000,0.015453338623046875,3.370000013092067e-05
18,dense,2500,47.68383026123047,0.1475417000001471
19,dense_sym,2500,23.841915130615234,0.1338117999998758
20,band,2500,0.07640838623046875,0.00021839999999428983
21,band_sym,2500,0.03826141357421875,0.00023839999994379468
22,tridiagonal,2500,0.028900146484375,5.0999999984924216e-05
23,tridiagonal_sym,2500,0.019268035888671875,4.199999966658652e-05
24,dense,3000,68.66466522216797,0.2277606000002379
25,dense_sym,3000,34.332332611083984,0.2022279000002527
26,band,3000,0.09166717529296875,0.0002561999999670661
27,band_sym,3000,0.04589080810546875,0.00028460000021368614
28,tridiagonal,3000,0.0346221923828125,6.339999981719302e-05
29,tridiagonal_sym,3000,0.023082733154296875,5.139999984749011e-05
30,dense,3500,93.46019744873047,0.3482386000000588
31,dense_sym,3500,46.730098724365234,0.2777946000001066
32,band,3500,0.10692596435546875,0.0002957000001515553
33,band_sym,3500,0.05352020263671875,0.0003218000001652399
34,tridiagonal,3500,0.04034423828125,6.979999989198404e-05
35,tridiagonal_sym,3500,0.026897430419921875,5.5300000440183794e-05
36,dense,4000,122.07042694091797,0.5120579999997972
37,dense_sym,4000,61.035213470458984,0.39557460000014544
38,band,4000,0.12218475341796875,0.00033429999984946335
39,band_sym,4000,0.06114959716796875,0.0003652000000329281
40,tridiagonal,4000,0.0460662841796875,8.70000003487803e-05
41,tridiagonal_sym,4000,0.030712127685546875,7.160000041039893e-05
42,dense,4500,154.49535369873047,0.6483511000001272
43,dense_sym,4500,77.24767684936523,0.4851935000001504
44,band,4500,0.13744354248046875,0.0003702000003613648
45,band_sym,4500,0.06877899169921875,0.00039839999999458087
46,tridiagonal,4500,0.051788330078125,9.540000019114814e-05
47,tridiagonal_sym,4500,0.034526824951171875,6.750000011379598e-05
48,dense,5000,190.73497772216797,0.8392017999999553
49,dense_sym,5000,95.36748886108398,0.6395377000003464
50,band,5000,0.15270233154296875,0.000430300000061834
51,band_sym,5000,0.07640838623046875,0.00044570000000021537
52,tridiagonal,5000,0.0575103759765625,9.379999983138987e-05
53,tridiagonal_sym,5000,0.038341522216796875,7.430000005115289e-05
54,dense,5500,230.78929901123047,1.080596499999956
55,dense_sym,5500,115.39464950561523,0.8019030000000384
56,band,5500,0.16796112060546875,0.00043099999993501115
57,band_sym,5500,0.08403778076171875,0.0004897999997410807
58,tridiagonal,5500,0.063232421875,0.00010730000030889641
59,tridiagonal_sym,5500,0.042156219482421875,8.059999981924193e-05
60,dense,6000,274.65831756591797,1.3376758000003974
61,dense_sym,6000,137.32915878295898,0.964049199999863
62,band,6000,0.18321990966796875,0.00046750000001338776
63,band_sym,6000,0.09166717529296875,0.0005465000003823661
64,tridiagonal,6000,0.0689544677734375,0.00011959999983446323
65,tridiagonal_sym,6000,0.045970916748046875,8.789999992586672e-05
66,dense,6500,322.34203338623047,1.688169200000175
67,dense_sym,6500,161.17101669311523,1.1873719999998684
68,band,6500,0.19847869873046875,0.000492499999836582
69,band_sym,6500,0.09929656982421875,0.0005774999999630381
70,tridiagonal,6500,0.074676513671875,0.0001191000001199427
71,tridiagonal_sym,6500,0.049785614013671875,0.00010359999987485935
72,dense,7000,373.84044647216797,1.9938984999998866
73,dense_sym,7000,186.92022323608398,1.4229213000003256
74,band,7000,0.21373748779296875,0.0005463000002237095
75,band_sym,7000,0.10692596435546875,0.0006166000002849614
76,tridiagonal,7000,0.0803985595703125,0.0001366999999845575
77,tridiagonal_sym,7000,0.053600311279296875,0.0001015000002553279
78,dense,7500,429.15355682373047,2.3910000000000764
79,dense_sym,7500,214.57677841186523,1.671321799999987
80,band,7500,0.22899627685546875,0.0005846999997629609
81,band_sym,7500,0.11455535888671875,0.0006797000000915432
82,tridiagonal,7500,0.08612060546875,0.0001401999998051906
83,tridiagonal_sym,7500,0.057415008544921875,0.00012069999957020627
84,dense,8000,488.28136444091797,2.8464757000001555
85,dense_sym,8000,244.14068222045898,2.0297718999995595
86,band,8000,0.24425506591796875,0.0006229000000530505
87,band_sym,8000,0.12218475341796875,0.000706499999978405
88,tridiagonal,8000,0.0918426513671875,0.00015490000032514217
89,tridiagonal_sym,8000,0.061229705810546875,0.00011510000013004174
90,dense,8500,551.2238693237305,3.3686391999999614
91,dense_sym,8500,275.61193466186523,2.31170689999999
92,band,8500,0.25951385498046875,0.0006475000000136788
93,band_sym,8500,0.12981414794921875,0.0007435999996232567
94,tridiagonal,8500,0.097564697265625,0.00016329999971276266
95,tridiagonal_sym,8500,0.06504440307617188,0.00012179999976069666
96,dense,9000,617.981071472168,3.820796599999994
97,dense_sym,9000,308.990535736084,2.6767338999998174
98,band,9000,0.27477264404296875,0.0006891999996696541
99,band_sym,9000,0.13744354248046875,0.0007970000001478184
100,tridiagonal,9000,0.1032867431640625,0.00016279999999824213
101,tridiagonal_sym,9000,0.06885910034179688,0.00013970000009067007
102,dense,9500,688.5529708862305,4.391539700000067
103,dense_sym,9500,344.27648544311523,3.02233410000008
104,band,9500,0.29003143310546875,0.0007243000000016764
105,band_sym,9500,0.14507293701171875,0.0008328000003530178
106,tridiagonal,9500,0.1090087890625,0.0001720000000204891
107,tridiagonal_sym,9500,0.07267379760742188,0.00014520000013362733
108,dense,10000,762.939567565918,5.031986099999813
109,dense_sym,10000,381.469783782959,3.4152398999999605
110,band,10000,0.30529022216796875,0.0007894000000305823
111,band_sym,10000,0.15270233154296875,0.000880099999903905
112,tridiagonal,10000,0.1147308349609375,0.0001916999999593827
113,tridiagonal_sym,10000,0.07648849487304688,0.000142600000344828
114,dense,10500,841.1408615112305,5.9106009000001904
115,dense_sym,10500,420.57043075561523,3.961958599999889
116,band,10500,0.32054901123046875,0.000876099999914004
117,band_sym,10500,0.16033172607421875,0.0009317999997620063
118,tridiagonal,10500,0.120452880859375,0.0002944999996543629
119,tridiagonal_sym,10500,0.08030319213867188,0.00024000000030355295
120,dense,11000,923.156852722168,6.598279400000138
121,dense_sym,11000,461.578426361084,4.456733200000144
122,band,11000,0.33580780029296875,0.0008630999996057653
123,band_sym,11000,0.16796112060546875,0.0009926000002451474
124,tridiagonal,11000,0.1261749267578125,0.00021839999999428983
125,tridiagonal_sym,11000,0.08411788940429688,0.0001608999996278726
126,dense,11500,1008.9875411987305,7.382454999999936
127,dense_sym,11500,504.49377059936523,4.898661800000355
128,band,11500,0.35106658935546875,0.0008766999999352265
129,band_sym,11500,0.17559051513671875,0.0010873999999603257
130,tridiagonal,11500,0.13189697265625,0.00021510000033231336
131,tridiagonal_sym,11500,0.08793258666992188,0.00018009999985224567
132,dense,12000,1098.632926940918,8.230633299999681
133,dense_sym,12000,549.316463470459,5.533826500000032
134,band,12000,0.36632537841796875,0.0010832999996637227
135,band_sym,12000,0.18321990966796875,0.0012440000000424334
136,tridiagonal,12000,0.1376190185546875,0.00022529999978360138
137,tridiagonal_sym,12000,0.09174728393554688,0.00018430000000080327
138,dense,12500,1192.0930099487305,9.273955200000273
139,dense_sym,12500,596.0465049743652,6.160316399999829
140,band,12500,0.38158416748046875,0.000957899999775691
141,band_sym,12500,0.19084930419921875,0.0014203999999153893
142,tridiagonal,12500,0.143341064453125,0.00023740000006000628
143,tridiagonal_sym,12500,0.09556198120117188,0.00017769999976735562
144,dense,13000,1289.367790222168,10.202160299999832
145,dense_sym,13000,644.683895111084,6.753232099999877
146,band,13000,0.39684295654296875,0.001009399999929883
147,band_sym,13000,0.19847869873046875,0.0011405000000195287
148,tridiagonal,13000,0.1490631103515625,0.000247500000114087
149,tridiagonal_sym,13000,0.09937667846679688,0.00018670000008569332
150,dense,13500,1390.4572677612305,11.36275089999981
151,dense_sym,13500,695.2286338806152,7.6698669000002155
152,band,13500,0.41210174560546875,0.001027400000111811
153,band_sym,13500,0.20610809326171875,0.0011844999999084393
154,tridiagonal,13500,0.15478515625,0.00025800000003073364
155,tridiagonal_sym,13500,0.10319137573242188,0.00020089999998162966
156,dense,14000,1495.361442565918,13.356973899999957
157,dense_sym,14000,747.680721282959,8.198941399999967
158,band,14000,0.42736053466796875,0.0010517000000618282
159,band_sym,14000,0.21373748779296875,0.0012227000001985289
160,tridiagonal,14000,0.1605072021484375,0.0002594000002318353
161,tridiagonal_sym,14000,0.10700607299804688,0.00021070000002509914
162,dense,14500,1604.0803146362305,13.969661000000087
163,dense_sym,14500,802.0401573181152,9.115639899999678
164,band,14500,0.44261932373046875,0.001126399999975547
165,band_sym,14500,0.22136688232421875,0.0012687000003097637
166,tridiagonal,14500,0.166229248046875,0.0002700999998523912
167,tridiagonal_sym,14500,0.11082077026367188,0.0002212999997937004
168,dense,15000,1716.613883972168,15.074327499999981
169,dense_sym,15000,858.306941986084,9.835608200000024
170,band,15000,0.45787811279296875,0.001287400000364869
171,band_sym,15000,0.22899627685546875,0.0013119999998707499
172,tridiagonal,15000,0.1719512939453125,0.0002795999998852494
173,tridiagonal_sym,15000,0.11463546752929688,0.00022390000003724708
174,dense,15500,1832.9621505737305,16.603118600000016
175,dense_sym,15500,916.4810752868652,10.810344600000008
176,band,15500,0.47313690185546875,0.001173200000266661
177,band_sym,15500,0.23662567138671875,0.0014458000000558968
178,tridiagonal,15500,0.17767333984375,0.00028620000011869706
179,tridiagonal_sym,15500,0.11845016479492188,0.00023400000009132782
180,dense,16000,1953.125114440918,19.32298469999978
181,dense_sym,16000,976.562557220459,12.971063200000117
182,band,16000,0.48839569091796875,0.0012489999999161228
183,band_sym,16000,0.24425506591796875,0.001399799999944662
184,tridiagonal,16000,0.1833953857421875,0.0003034999999727006
185,tridiagonal_sym,16000,0.12226486206054688,0.0002538000003369234
186,dense,16500,2077.1027755737305,20.050703200000044
187,dense_sym,16500,1038.5513877868652,12.874722399999882
188,band,16500,0.5036544799804688,0.0016129999999066058
189,band_sym,16500,0.25188446044921875,0.0015628000001015607
190,tridiagonal,16500,0.189117431640625,0.0003452000000834232
191,tridiagonal_sym,16500,0.12607955932617188,0.00026869999965128954
192,dense,17000,2204.895133972168,21.431473500000266
193,dense_sym,17000,1102.447566986084,13.737536399999954
194,band,17000,0.5189132690429688,0.0013205999998717743
195,band_sym,17000,0.25951385498046875,0.0014833999998700165
196,tridiagonal,17000,0.1948394775390625,0.000356399999873247
197,tridiagonal_sym,17000,0.12989425659179688,0.0002449000003252877
198,dense,17500,2336.5021896362305,23.0565631999998
199,dense_sym,17500,1168.2510948181152,14.706310499999745
200,band,17500,0.5341720581054688,0.001361099999940052
201,band_sym,17500,0.26714324951171875,0.0015449000002263347
202,tridiagonal,17500,0.2005615234375,0.00032239999973171507
203,tridiagonal_sym,17500,0.13370895385742188,0.0002573000001575565
204,dense,18000,2471.923942565918,24.69550709999976
205,dense_sym,18000,1235.961971282959,15.876914799999668
206,band,18000,0.5494308471679688,0.0013500999998541374
207,band_sym,18000,0.27477264404296875,0.0015665000000808504
208,tridiagonal,18000,0.2062835693359375,0.00032929999997577397
209,tridiagonal_sym,18000,0.13752365112304688,0.0002615999997033214
210,dense,18500,2611.1603927612305,26.999532199999976
211,dense_sym,18500,1305.5801963806152,17.01730329999964
212,band,18500,0.5646896362304688,0.0014333999997688807
213,band_sym,18500,0.28240203857421875,0.001721099999940634
214,tridiagonal,18500,0.212005615234375,0.00035120000029564835
215,tridiagonal_sym,18500,0.14133834838867188,0.0002813000000969623
216,dense,19000,2754.211540222168,28.740697199999886
217,dense_sym,19000,1377.105770111084,18.209675600000082
218,band,19000,0.5799484252929688,0.0014654999999947904
219,band_sym,19000,0.29003143310546875,0.0017229000000043015
220,tridiagonal,19000,0.2177276611328125,0.0003596999999899708
221,tridiagonal_sym,19000,0.14515304565429688,0.00028969999993933016
222,dense,19500,2901.0773849487305,30.835751099999925
223,dense_sym,19500,1450.5386924743652,19.653422099999716
224,band,19500,0.5952072143554688,0.0015508999999838124
225,band_sym,19500,0.29766082763671875,0.0019111999999950058
226,tridiagonal,19500,0.22344970703125,0.00037240000028759823
227,tridiagonal_sym,19500,0.14896774291992188,0.000294099999791797
228,dense,20000,3051.757926940918,33.179668199999924
229,dense_sym,20000,1525.878963470459,21.194093099999918
